# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
86            	smoothSolver	1.042800e-03	9.353430e-05	12	2.362730e-03	2.023320e-04	12	5.762740e-03	5.149820e-04	12	false	GAMG	1.068510e-03	5.842630e-06	5	true
87            	smoothSolver	1.035050e-03	9.285080e-05	12	2.338650e-03	2.003530e-04	12	5.710160e-03	5.103540e-04	12	false	GAMG	1.057050e-03	5.771790e-06	5	true
88            	smoothSolver	1.027480e-03	9.217680e-05	12	2.315290e-03	1.983970e-04	12	5.658430e-03	5.057230e-04	12	false	GAMG	1.045370e-03	5.693940e-06	5	true
89            	smoothSolver	1.019960e-03	9.151320e-05	12	2.291770e-03	1.964660e-04	12	5.607400e-03	5.012410e-04	12	false	GAMG	1.033440e-03	5.620370e-06	5	true
90            	smoothSolver	1.012600e-03	9.085840e-05	12	2.269120e-03	1.945610e-04	12	5.557340e-03	4.967570e-04	12	false	GAMG	1.021720e-03	5.546250e-06	5	true
91            	smoothSolver	1.005290e-03	9.021350e-05	12	2.246410e-03	1.926870e-04	12	5.508020e-03	4.924160e-04	12	false	GAMG	1.010880e-03	5.475150e-06	5	true
92            	smoothSolver	9.981420e-04	8.957680e-05	12	2.224440e-03	1.908360e-04	12	5.459500e-03	4.880670e-04	12	false	GAMG	1.000620e-03	5.405680e-06	5	true
93            	smoothSolver	9.910320e-04	8.894950e-05	12	2.202290e-03	1.890090e-04	12	5.411640e-03	4.838550e-04	12	false	GAMG	9.904060e-04	5.337820e-06	5	true
94            	smoothSolver	9.840800e-04	8.833000e-05	12	2.180920e-03	1.872060e-04	12	5.364590e-03	4.796350e-04	12	false	GAMG	9.803380e-04	5.272380e-06	5	true
95            	smoothSolver	9.771610e-04	8.771940e-05	12	2.159440e-03	1.854320e-04	12	5.318180e-03	4.755470e-04	12	false	GAMG	9.707270e-04	5.207810e-06	5	true
96            	smoothSolver	9.703940e-04	8.711630e-05	12	2.138680e-03	1.836780e-04	12	5.272490e-03	4.714480e-04	12	false	GAMG	9.615860e-04	5.148670e-06	5	true
97            	smoothSolver	9.636590e-04	8.652160e-05	12	2.117770e-03	1.819470e-04	12	5.227410e-03	4.674750e-04	12	false	GAMG	9.523130e-04	5.088760e-06	5	true
98            	smoothSolver	9.570680e-04	8.593390e-05	12	2.097600e-03	1.802380e-04	12	5.183010e-03	4.634920e-04	12	false	GAMG	9.431320e-04	5.033830e-06	5	true
99            	smoothSolver	9.505050e-04	8.535420e-05	12	2.077310e-03	1.785540e-04	12	5.139220e-03	4.596310e-04	12	false	GAMG	9.343230e-04	4.976610e-06	5	true
100           	smoothSolver	9.440790e-04	8.478100e-05	12	2.057730e-03	1.768910e-04	12	5.096080e-03	4.557590e-04	12	false	GAMG	9.258460e-04	4.925400e-06	5	true
101           	smoothSolver	9.376770e-04	8.421540e-05	12	2.038000e-03	1.752500e-04	12	5.053490e-03	4.520040e-04	12	false	GAMG	9.174430e-04	4.870550e-06	5	true
102           	smoothSolver	9.314080e-04	8.365610e-05	12	2.018940e-03	1.736280e-04	12	5.011530e-03	4.482360e-04	12	false	GAMG	9.092870e-04	4.820310e-06	5	true
103           	smoothSolver	9.251620e-04	8.310400e-05	12	1.999700e-03	1.720280e-04	12	4.970120e-03	4.445830e-04	12	false	GAMG	9.012450e-04	4.766760e-06	5	true
104           	smoothSolver	9.190440e-04	8.255790e-05	12	1.981120e-03	1.704490e-04	12	4.929290e-03	4.409160e-04	12	false	GAMG	8.936010e-04	4.718140e-06	5	true
105           	smoothSolver	9.129470e-04	8.201890e-05	12	1.962390e-03	1.688920e-04	12	4.888990e-03	4.373600e-04	12	false	GAMG	8.860390e-04	4.665980e-06	5	true
106           	smoothSolver	9.069730e-04	8.148550e-05	12	1.944330e-03	1.673520e-04	12	4.849240e-03	4.337890e-04	12	false	GAMG	8.784980e-04	4.619670e-06	5	true
107           	smoothSolver	9.010180e-04	8.095880e-05	12	1.926110e-03	1.658320e-04	12	4.810010e-03	4.303260e-04	12	false	GAMG	8.711090e-04	4.569500e-06	5	true
108           	smoothSolver	8.951800e-04	8.043740e-05	12	1.908530e-03	1.643300e-04	12	4.771300e-03	4.268470e-04	12	false	GAMG	8.638870e-04	4.524690e-06	5	true
109           	smoothSolver	8.893580e-04	7.992250e-05	12	1.890780e-03	1.628490e-04	12	4.733090e-03	4.234730e-04	12	false	GAMG	8.568750e-04	4.475250e-06	5	true
110           	smoothSolver	8.836500e-04	7.941260e-05	12	1.873670e-03	1.613850e-04	12	4.695370e-03	4.200830e-04	12	false	GAMG	8.500120e-04	4.430110e-06	5	true
111           	smoothSolver	8.779570e-04	7.890890e-05	12	1.856400e-03	1.599390e-04	12	4.658120e-03	4.167930e-04	12	false	GAMG	8.431260e-04	4.382520e-06	5	true
112           	smoothSolver	8.723750e-04	7.841010e-05	12	1.839740e-03	1.585110e-04	12	4.621350e-03	4.134880e-04	12	false	GAMG	8.364870e-04	4.339400e-06	5	true
113           	smoothSolver	8.670130e-04	7.792320e-05	12	1.822960e-03	1.571010e-04	12	4.587280e-03	4.103030e-04	12	false	GAMG	8.835000e-04	3.376990e-06	5	true
114           	smoothSolver	8.614590e-04	7.741080e-05	12	1.807860e-03	1.557450e-04	12	4.553500e-03	4.069660e-04	12	false	GAMG	8.490470e-04	4.468630e-06	5	true
115           	smoothSolver	8.564430e-04	7.696190e-05	12	1.791070e-03	1.543540e-04	12	4.521820e-03	4.038990e-04	12	false	GAMG	1.055980e-03	5.038730e-06	5	true
116           	smoothSolver	8.510200e-04	7.639340e-05	12	1.778960e-03	1.531220e-04	12	4.494700e-03	4.005860e-04	12	false	GAMG	9.267010e-04	3.811650e-06	5	true
117           	smoothSolver	8.453800e-04	7.596790e-05	12	1.761820e-03	1.517710e-04	12	4.452930e-03	3.971650e-04	12	false	GAMG	1.161590e-03	6.702280e-06	5	true
118           	smoothSolver	8.402750e-04	7.538320e-05	12	1.749580e-03	1.505820e-04	12	4.429820e-03	3.941490e-04	12	false	GAMG	9.980530e-04	4.275660e-06	5	true
119           	smoothSolver	8.347750e-04	7.499570e-05	12	1.732440e-03	1.492160e-04	12	4.388930e-03	3.908750e-04	12	false	GAMG	1.325170e-03	9.688090e-06	5	true
120           	smoothSolver	8.289920e-04	7.439940e-05	12	1.718910e-03	1.480710e-04	12	4.364530e-03	3.881700e-04	12	false	GAMG	1.076000e-03	6.028970e-06	5	true
121           	smoothSolver	8.228900e-04	7.395540e-05	12	1.705290e-03	1.468830e-04	12	4.323440e-03	3.848820e-04	12	false	GAMG	1.214760e-03	9.037260e-06	5	true
122           	smoothSolver	8.174170e-04	7.343400e-05	12	1.692560e-03	1.457870e-04	12	4.295640e-03	3.819150e-04	12	false	GAMG	1.158480e-03	7.695360e-06	5	true
123           	smoothSolver	8.120330e-04	7.297370e-05	12	1.678330e-03	1.446270e-04	12	4.267390e-03	3.793650e-04	12	false	GAMG	1.132980e-03	6.385150e-06	5	true
124           	smoothSolver	8.067630e-04	7.252680e-05	12	1.664230e-03	1.434460e-04	12	4.237440e-03	3.770460e-04	12	false	GAMG	1.099190e-03	5.995990e-06	5	true
125           	smoothSolver	8.013780e-04	7.207700e-05	12	1.649160e-03	1.422200e-04	12	4.205740e-03	3.748010e-04	12	false	GAMG	1.060730e-03	4.942380e-06	5	true
126           	smoothSolver	7.960950e-04	7.162650e-05	12	1.634520e-03	1.409680e-04	12	4.175490e-03	3.725440e-04	12	false	GAMG	1.019370e-03	6.389280e-06	5	true
127           	smoothSolver	7.908600e-04	7.117750e-05	12	1.619380e-03	1.396910e-04	12	4.145890e-03	3.702680e-04	12	false	GAMG	9.795710e-04	6.323420e-06	5	true
128           	smoothSolver	7.858020e-04	7.073280e-05	12	1.604650e-03	1.384160e-04	12	4.116590e-03	3.678750e-04	12	false	GAMG	9.453520e-04	5.683580e-06	5	true
129           	smoothSolver	7.808970e-04	7.029920e-05	12	1.589710e-03	1.371590e-04	12	4.088720e-03	3.655560e-04	12	false	GAMG	9.188220e-04	5.359560e-06	5	true
130           	smoothSolver	7.762420e-04	6.988260e-05	12	1.575330e-03	1.359210e-04	12	4.061680e-03	3.632190e-04	12	false	GAMG	8.961940e-04	5.108680e-06	5	true
131           	smoothSolver	7.717170e-04	6.948290e-05	12	1.560890e-03	1.347110e-04	12	4.034630e-03	3.608990e-04	12	false	GAMG	8.742650e-04	8.719490e-06	4	true
132           	smoothSolver	7.672740e-04	6.908570e-05	12	1.547010e-03	1.335200e-04	12	4.006270e-03	3.584070e-04	12	false	GAMG	8.547630e-04	8.541260e-06	4	true
133           	smoothSolver	7.628910e-04	6.869490e-05	12	1.533260e-03	1.323570e-04	12	3.979720e-03	3.560870e-04	12	false	GAMG	8.347380e-04	8.250050e-06	4	true
134           	smoothSolver	7.585530e-04	6.830520e-05	12	1.519970e-03	1.312090e-04	12	3.952720e-03	3.536810e-04	12	false	GAMG	8.165490e-04	7.882250e-06	4	true
135           	smoothSolver	7.542030e-04	6.791820e-05	12	1.506600e-03	1.300820e-04	12	3.925720e-03	3.513120e-04	12	false	GAMG	8.000850e-04	7.731580e-06	4	true
136           	smoothSolver	7.499140e-04	6.753310e-05	12	1.493750e-03	1.289680e-04	12	3.898770e-03	3.489020e-04	12	false	GAMG	7.849190e-04	7.465160e-06	4	true
137           	smoothSolver	7.456220e-04	6.715120e-05	12	1.480760e-03	1.278730e-04	12	3.872030e-03	3.465510e-04	12	false	GAMG	7.708200e-04	7.382420e-06	4	true
138           	smoothSolver	7.413920e-04	6.677140e-05	12	1.468290e-03	1.267900e-04	12	3.845470e-03	3.441700e-04	12	false	GAMG	7.579000e-04	7.153760e-06	4	true
139           	smoothSolver	7.371610e-04	6.639500e-05	12	1.455700e-03	1.257240e-04	12	3.819180e-03	3.418520e-04	12	false	GAMG	7.460600e-04	7.102070e-06	4	true
140           	smoothSolver	7.329930e-04	6.602080e-05	12	1.443590e-03	1.246700e-04	12	3.793090e-03	3.395070e-04	12	false	GAMG	7.355400e-04	6.893630e-06	4	true
141           	smoothSolver	7.288260e-04	6.565000e-05	12	1.431320e-03	1.236310e-04	12	3.767280e-03	3.372270e-04	12	false	GAMG	7.264580e-04	6.859040e-06	4	true
142           	smoothSolver	7.247220e-04	6.528130e-05	12	1.419510e-03	1.226020e-04	12	3.741650e-03	3.349210e-04	12	false	GAMG	7.183500e-04	6.667680e-06	4	true
143           	smoothSolver	7.206170e-04	6.491600e-05	12	1.407530e-03	1.215870e-04	12	3.716280e-03	3.326790e-04	12	false	GAMG	7.107860e-04	6.645000e-06	4	true
144           	smoothSolver	7.165730e-04	6.455270e-05	12	1.396000e-03	1.205820e-04	12	3.691100e-03	3.304130e-04	12	false	GAMG	7.038310e-04	6.468370e-06	4	true
145           	smoothSolver	7.125300e-04	6.419280e-05	12	1.384320e-03	1.195910e-04	12	3.666190e-03	3.282100e-04	12	false	GAMG	6.973060e-04	6.453440e-06	4	true
146           	smoothSolver	7.085470e-04	6.383500e-05	12	1.373090e-03	1.186100e-04	12	3.641470e-03	3.259840e-04	12	false	GAMG	6.910910e-04	6.286850e-06	4	true
147           	smoothSolver	7.045660e-04	6.348050e-05	12	1.361690e-03	1.176420e-04	12	3.617020e-03	3.238210e-04	12	false	GAMG	6.851400e-04	6.277830e-06	4	true
148           	smoothSolver	7.006430e-04	6.312800e-05	12	1.350730e-03	1.166830e-04	12	3.592760e-03	3.216350e-04	12	false	GAMG	6.794740e-04	6.121230e-06	4	true
149           	smoothSolver	6.967200e-04	6.277860e-05	12	1.339590e-03	1.157370e-04	12	3.568740e-03	3.195090e-04	12	false	GAMG	6.739880e-04	6.116510e-06	4	true
